bedrijf,functie,plaats,datum,zoekterm,al_in_pool,vacature_url,bedrijf_linkedin,vacature_id
Viking Nederland,Local Commercial Web Manager NLD,Venlo,2026-09-16,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/local-commercial-web-manager-nld-at-viking-nederland-4468261625,https://nl.linkedin.com/company/vikingnederland,4468261625
VIKTOR,Customer Success Manager,Rotterdam,2026-09-15,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-viktor-4467494832,https://nl.linkedin.com/company/viktor-ai,4467494832
Vintage.com,German Customer Experience Agent,Duiven,2026-09-09,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/german-customer-experience-agent-at-vintage-com-4464128593,https://nl.linkedin.com/company/vintage-com,4464128593
Vintage.com,French Customer Experience Agent,Duiven,2026-09-15,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/french-customer-experience-agent-at-vintage-com-4464134036,https://nl.linkedin.com/company/vintage-com,4464134036
Vintage.com,French Customer Experience Agent,Arnhem,2026-09-15,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/french-customer-experience-agent-at-vintage-com-4465596031,https://nl.linkedin.com/company/vintage-com,4465596031
VIPS PMS,Customer Success &amp; Accountmanager VIPS PMS,Nieuwegein,2026-08-27,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-accountmanager-vips-pms-at-vips-pms-4458962293,https://nl.linkedin.com/company/vips-pms,4458962293
Virtual Assistant Team,Digital Marketer with Click Funnels,Est,2025-04-03,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/digital-marketer-with-click-funnels-at-virtual-assistant-team-4197787540,https://au.linkedin.com/company/virtualassistantteam,4197787540
Voetencentrum Wender,Medewerker Servicedesk,Hengelo,2026-09-09,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-servicedesk-at-voetencentrum-wender-4465058771,https://nl.linkedin.com/company/voetencentrum-wender,4465058771
VolkerWessels Infra Digital,Servicedeskmedewerker,Vianen,2026-07-08,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/servicedeskmedewerker-at-volkerwessels-infra-digital-4437066756,https://nl.linkedin.com/company/volkerwesselsinfradigital,4437066756
Volkswagen Pon Financial Services,Klantadviseur Lease,Amersfoort,2026-09-04,customer happiness,nee,https://nl.linkedin.com/jobs/view/klantadviseur-lease-at-volkswagen-pon-financial-services-4463307063,https://nl.linkedin.com/company/volkswagen-pon-financial-services,4463307063
