bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
Billink,billink.nl,geraden en bevestigd,Customer Success Manager,2026-08-18,Gouda,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-billink-4455757456,customer happiness
Bizzdesign,bizzdesign.com,geraden en bevestigd,Senior Customer Success Manager,2026-09-09,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/senior-customer-success-manager-at-bizzdesign-4463808925,customer happiness
Bloom & Wild,bloomwild.com,geraden en bevestigd,Customer Delight Talent Pool,2026-09-13,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-delight-talent-pool-at-bloom-wild-4466735976,klantenservice medewerker
bloomon,bloomon.nl,geraden en bevestigd,Customer Support Senior Associate (Dutch or German Speaking),2026-09-15,Amsterdam Area,1,ja,https://nl.linkedin.com/jobs/view/customer-support-senior-associate-dutch-or-german-speaking-at-bloomon-4467727735,klantenservice medewerker
Booking Boosters,bookingexperts.com,geraden en bevestigd,Customer Support Specialist DACH,2026-09-16,Enschede,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-boosters-4468318072,customer happiness
Booking Experts,bookingexperts.com,geraden en bevestigd,Customer Support Specialist DACH,2026-09-17,Enschede,4,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-experts-b-v-4467141096,customer happiness
BridgeFund,bridgefund.nl,geraden en bevestigd,Customer Service Representative,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-bridgefund-4445916609,klantenservice medewerker
Brocacef,brocacef.nl,geraden en bevestigd,Medewerker contact en support,2026-09-14,Maarssen,3,nee,https://nl.linkedin.com/jobs/view/medewerker-contact-en-support-at-brocacef-4376576436,klantenservice medewerker
Bruynzeel Keukens,bruynzeelkeukens.nl,geraden en bevestigd,Klantbegeleider Retail,2026-09-15,Bergen op Zoom,1,nee,https://nl.linkedin.com/jobs/view/klantbegeleider-retail-at-bruynzeel-keukens-4458070511,customer happiness
Bugaboo Group,bugaboo.com,geraden en bevestigd,Growth Content &amp; Product Data Specialist,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/growth-content-product-data-specialist-at-bugaboo-group-4466683442,webcare medewerker
Burger Support BV,burgersupport.nl,geraden en bevestigd,Customer Service Medewerker,2026-09-17,Lelystad,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-burger-support-bv-4468602778,klantenservice medewerker
BUX,bux.nl,geraden en bevestigd,Customer Support Representative (deutschsprachig),2026-09-08,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-support-representative-deutschsprachig-at-bux-4463286894,klantenservice medewerker
Cabau Lifestyle,cabaulifestyle.com,geraden en bevestigd,CRO Specialist,2026-08-21,Arnhem,1,ja,https://nl.linkedin.com/jobs/view/cro-specialist-at-cabau-lifestyle-4457305819,webcare medewerker
Capgemini,capgemini.com,geraden en bevestigd,Frontend Developer - NL,2026-06-03,Utrecht,2,nee,https://nl.linkedin.com/jobs/view/frontend-developer-nl-at-capgemini-4418513610,webcare medewerker
Cardano,cardano.nl,geraden en bevestigd,Digital Marketing Coordinator,2026-09-04,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/digital-marketing-coordinator-at-cardano-4463379096,webcare medewerker
CDA,cda.nl,geraden en bevestigd,Digital marketeer,2026-09-18,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/digital-marketeer-at-cda-4251674255,webcare medewerker
Cedrah,cedrah.nl,geraden en bevestigd,Senior medewerker ICT,2026-08-04,Barendrecht,1,nee,https://nl.linkedin.com/jobs/view/senior-medewerker-ict-at-cedrah-4447372315,webcare medewerker
Cegeka,cegeka.com,geraden en bevestigd,Onsite Support,2026-09-15,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/onsite-support-at-cegeka-4465913004,webcare medewerker
CGI Nederland,cgi.com,geraden en bevestigd,On Site Support Specialist - Global Technology Operations,2026-09-05,Schaijk,1,nee,https://nl.linkedin.com/jobs/view/on-site-support-specialist-global-technology-operations-at-cgi-nederland-4445232652,webcare medewerker
Chane,shopswellophonic.com,geraden en bevestigd,IT Service Desk Medewerker,2026-09-04,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/it-service-desk-medewerker-at-chane-4429332633,webcare medewerker
Check Point Software,checkpoint.com,geraden en bevestigd,Customer Success Manager,2026-09-21,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-check-point-software-4442515867,customer happiness
ChipSoft Nederland,chipsoft.com,geraden en bevestigd,Growth Marketeer,2026-09-15,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/growth-marketeer-at-chipsoft-nederland-4448895867,webcare medewerker
CIMSOLUTIONS,cimsolutions.nl,geraden en bevestigd,Front-end Developer,2026-09-22,Utrecht Area,1,nee,https://nl.linkedin.com/jobs/view/front-end-developer-at-cimsolutions-4468540428,webcare medewerker
Cleve & Zonen,cleve.nl,geraden en bevestigd,Customer Service Medewerker,2026-08-21,Rotterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-cleve-zonen-4457524926,klantenservice medewerker
Cleverbase,cleverbase.com,geraden en bevestigd,Front Desk Employee,2026-07-23,Den Haag,3,nee,https://nl.linkedin.com/jobs/view/front-desk-employee-at-cleverbase-4444435854,webcare medewerker
Cloudpillo,cloudpillo.com,geraden en bevestigd,Klantenservice Medewerker - Duits / Engels,2026-09-14,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-duits-engels-at-cloudpillo-4446056309,klantenservice medewerker
ClubCollect,clubcollect.com,geraden en bevestigd,Customer Support Representative,2025-10-26,Assen,1,nee,https://nl.linkedin.com/jobs/view/customer-support-representative-at-clubcollect-4317637159,klantenservice medewerker
