bedrijf,functie,plaats,datum,zoekterm,al_in_pool,vacature_url,bedrijf_linkedin,vacature_id
Belgie Vacature,"Medewerker Customer service Engels, Frans, Nederlands - Dagshifte","Hasselt, Vlaanderen, België",2026-07-14,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/medewerker-customer-service-engels-frans-nederlands-dagshifte-at-belgie-vacature-4440841755,https://nl.linkedin.com/company/belgievacature-be,4440841755
Belgie Vacature,"Medewerker Customer service Engels, Duits, Nederlands - Vaste wee","Hasselt, Vlaanderen, België",2026-07-14,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/medewerker-customer-service-engels-duits-nederlands-vaste-wee-at-belgie-vacature-4440859164,https://nl.linkedin.com/company/belgievacature-be,4440859164
Belgie Vacature,Customer Service Medewerker,"Beveren-Waas, Vlaanderen, België",2026-07-20,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-belgie-vacature-4443019129,https://nl.linkedin.com/company/belgievacature-be,4443019129
Belgie Vacature,Customer Service Advisor NL/FR,"Hasselt, Vlaanderen, België",2026-07-27,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-advisor-nl-fr-at-belgie-vacature-4446127765,https://nl.linkedin.com/company/belgievacature-be,4446127765
Belgie Vacature,Customer Support Medewerker | schoolverlaters welkom | Kapellen,"Kapellen, Vlaanderen, België",2026-08-04,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-support-medewerker-schoolverlaters-welkom-kapellen-at-belgie-vacature-4449069773,https://nl.linkedin.com/company/belgievacature-be,4449069773
Belgie Vacature,Customer Service Advisor,"Jette, Brussels Hoofdstedelijk Gewest, België",2026-08-17,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-advisor-at-belgie-vacature-4455383566,https://nl.linkedin.com/company/belgievacature-be,4455383566
Belgie Vacature,Customer Service Medewerker,"Lummen, Vlaanderen, België",2026-08-17,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-belgie-vacature-4455377678,https://nl.linkedin.com/company/belgievacature-be,4455377678
Belgie Vacature,Commercieel Klantenadviseur Belfius,"Sint-Joost-ten-Node, Brussels Hoofdstedelijk Gewest, België",2026-08-19,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/commercieel-klantenadviseur-belfius-at-belgie-vacature-4456399445,https://nl.linkedin.com/company/belgievacature-be,4456399445
Belgie Vacature,Klantendienstmedewerker Belfius,"Brussel-Louisa, Brussels Hoofdstedelijk Gewest, België",2026-08-20,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/klantendienstmedewerker-belfius-at-belgie-vacature-4457012420,https://nl.linkedin.com/company/belgievacature-be,4457012420
Belgie Vacature,Tweetalig klantendienstmedewerker voor een Belgisch waterbedrijf,"Mechelen, Vlaanderen, België",2026-08-20,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/tweetalig-klantendienstmedewerker-voor-een-belgisch-waterbedrijf-at-belgie-vacature-4457005504,https://nl.linkedin.com/company/belgievacature-be,4457005504
