bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal
Bright Plus,brightplus.com,geraden en bevestigd,Customer Service Medewerker (3 dagen home office),2026-09-14,"Temse, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-3-dagen-home-office-at-bright-plus-4465712711,klantenservice medewerker,ok,woocommerce,,,,,ja,,0,api[- ]documen|veiling,,,,
CRH,crh.com,geraden en bevestigd,Customer Service Representative- Leviat,2026-09-05,"Ternat, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-leviat-at-crh-4376801143,klantenservice medewerker,ok,woocommerce,,,,,ja,,0,,,,,
Fine Dining & Living,finediningandliving.eu,geraden en bevestigd,Customer Service Medewerker,2026-09-11,"Geel, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-fine-dining-living-4464847888,klantenservice medewerker,ok,magento,,4,,,ja,ja,0,,,,,
Impermo,impermo.nl,geraden en bevestigd,Customer Care Professional,2026-09-10,"Sint-Truiden, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-professional-at-impermo-4465809198,klantenservice medewerker,ok,,,6,,trustpilot,ja,,2,,,,,
Zero Friction,zerofriction.com,geraden en bevestigd,Customer Service and Operations Agent NL &amp; FR,2026-07-23,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-and-operations-agent-nl-fr-at-zero-friction-4444438889,klantenservice medewerker,ok,shopify,64,,,judgeme,ja,,0,,,,,
