bedrijf,functie,plaats,datum,zoekterm,al_in_pool,vacature_url,bedrijf_linkedin,vacature_id
American Express,American Express - Centurion Lounge Ambassador,Amsterdam,2026-09-08,customer happiness,nee,https://nl.linkedin.com/jobs/view/american-express-centurion-lounge-ambassador-at-american-express-4463531151,https://www.linkedin.com/company/american-express,4463531151
Aon,Key Account Handler Customer Service,Rotterdam,2026-09-09,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/key-account-handler-customer-service-at-aon-4456143590,https://uk.linkedin.com/company/aon,4456143590
Aon,Junior Website Specialist,Rotterdam,2026-09-19,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/junior-website-specialist-at-aon-4458595737,https://uk.linkedin.com/company/aon,4458595737
Aquaculture Stewardship Council (ASC),Traceability Coordinator,Nederland,2026-08-27,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/traceability-coordinator-at-aquaculture-stewardship-council-asc-4458652020,https://nl.linkedin.com/company/aquaculture-stewardship-council,4458652020
Arlon Graphics,Customer Support Specialist EMEA,Den Haag,2026-09-03,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-emea-at-arlon-graphics-4461654441,https://www.linkedin.com/company/arlongraphics,4461654441
ASA Talent,Key Account Customer Service DHL,Amersfoort,2026-09-18,customer happiness,nee,https://nl.linkedin.com/jobs/view/key-account-customer-service-dhl-at-asa-talent-4466914840,https://nl.linkedin.com/company/asa-talent,4466914840
ASAPCLOUD,Customer Success Manager,Houten,2026-09-21,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-asapcloud-4467603330,https://nl.linkedin.com/company/asapcloudbv,4467603330
Ascom,First Line Support Engineer,Utrecht,2026-08-18,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/first-line-support-engineer-at-ascom-4454455600,https://ch.linkedin.com/company/ascom,4454455600
Asendia,Customer Success Manager,Eindhoven,2026-08-25,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-asendia-4457491307,https://ch.linkedin.com/company/asendia,4457491307
Ashby,Mid-Market Customer Success Manager - EMEA,Amsterdam,2026-09-18,customer happiness,nee,https://nl.linkedin.com/jobs/view/mid-market-customer-success-manager-emea-at-ashby-4468016415,https://www.linkedin.com/company/ashbyhq,4468016415
ASSA ABLOY Group,Klantenservice medewerker,Ede,2026-09-16,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-assa-abloy-group-4466202608,https://se.linkedin.com/company/assaabloy,4466202608
Atlassian,"Principal Customer Success Manager, Strategic DACH",Amsterdam,2026-09-22,customer happiness,nee,https://nl.linkedin.com/jobs/view/principal-customer-success-manager-strategic-dach-at-atlassian-4451509548,https://au.linkedin.com/company/atlassian,4451509548
Atlassian,"Principal Customer Success Manager, Strategic DACH",Nederland,2026-09-22,customer happiness,nee,https://nl.linkedin.com/jobs/view/principal-customer-success-manager-strategic-dach-at-atlassian-4451399926,https://au.linkedin.com/company/atlassian,4451399926
Atos Medical,Consumer Care Specialist,Amersfoort,2026-09-19,customer happiness,nee,https://nl.linkedin.com/jobs/view/consumer-care-specialist-at-atos-medical-4440770846,https://se.linkedin.com/company/atosmedicalcom,4440770846
Audax Nederland,Medewerker klantenservice,Almere,2026-09-08,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-audax-netherlands-4440551063,https://nl.linkedin.com/company/audaxenergy-nl,4440551063
Autodistribution Nederland,Customer Support Medewerker,'s-Hertogenbosch,2026-08-31,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-support-medewerker-at-autodistribution-nederland-4450612001,https://nl.linkedin.com/company/autodistribution-nederland-b.v.,4450612001
Autoflex Automotive Software,Medewerker Klantenservice &amp; Support,Putten,2026-09-14,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-support-at-autoflex-4467070838,https://nl.linkedin.com/company/autoflex,4467070838
Avantor,Costumer Service,Amsterdam,2026-09-08,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/costumer-service-at-avantor-4436910322,https://www.linkedin.com/company/avantorinc,4436910322
AVH Outdoor Tuinmeubelen,Fulltime klantenservice medewerker,Numansdorp,2026-02-24,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/fulltime-klantenservice-medewerker-at-avh-outdoor-tuinmeubelen-4377141843,https://nl.linkedin.com/company/avh-outdoor-tuinmeubelen,4377141843
Axians NL,Customer Care Specialist,Eindhoven,2026-09-10,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-at-axians-nl-4456487800,https://nl.linkedin.com/company/axiansnl,4456487800
Axians NL | Data Analytics,Customer Care Specialist,Eindhoven,2026-08-20,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-at-axians-data-ai-4453869579,https://nl.linkedin.com/company/axians-data-ai,4453869579
AxionContinu,Medewerker ICT-Servicedesk,Utrecht,2026-08-25,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-ict-servicedesk-at-axioncontinu-4466945841,https://nl.linkedin.com/company/axioncontinu,4466945841
Axivate Horeca Group,Medewerker Bediening (Nieuw concept),Utrecht,2026-09-18,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-bediening-nieuw-concept-at-axivate-horeca-group-4469115573,https://nl.linkedin.com/company/axivatehorecagroup,4469115573
Barista-Essentials,Klantenservice manager I Chef blije thuisbarista's,Utrecht,2026-08-07,customer happiness,nee,https://nl.linkedin.com/jobs/view/klantenservice-manager-i-chef-blije-thuisbarista-s-at-barista-essentials-4450737905,https://nl.linkedin.com/company/barista-essentials,4450737905
Basic-Fit,Customer Support Agent (German),Hoofddorp,2026-09-17,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-support-agent-german-at-basic-fit-4462471375,https://nl.linkedin.com/company/basic-fit,4462471375
Basic-Fit,Customer Support Agent (Nederlands),Hoofddorp,2026-09-17,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-support-agent-nederlands-at-basic-fit-4462467412,https://nl.linkedin.com/company/basic-fit,4462467412
