bedrijf,beslisser,status,actie,batch,lp_url,datum
Nasomatto,Alessandro Gualtieri,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/nasomatto,
Jutkey,Gea Jutjens,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/jutkey,
Rc Motorsports,Robert van Ginhoven,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/rc-motorsports,
Baskèts,Matty J. M. Hofstede,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/baskets,
Dekbed discounter,Niels Verwij,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/dekbed-discounter,
Diamond Point,Sammy van Gelder,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/diamond-point,
Gisou,Negin Mirsalehi,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/gisou,
John Beerens,John Beerens,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/john-beerens,
Mason Garments,Rendi Aditia,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/mason-garments,
Natural High,Jorgen Borsboom,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/natural-high,
No excess,Roel de Veer,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/no-excess,
NØORDCODE,Eduard de Wilde,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/nordcode,
OGÉR,Martijn Lusink,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/oger,
Olivia & Kate,Janina Pakasi,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/olivia-kate,
REV’IT!,Ivan Vos,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/revit,
Stoov,Niek Veendrick,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/stoov,
Tirisi,Natascha Rotstein-Zuchouwski,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/tirisi,
ACAZA,Bruno De Clerck,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/acaza,
Bambaw,Max de Hemptinne,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/bambaw,
De Troubadour Interieurs,Alex de Boggende,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/de-troubadour-interieurs,
Dreambaby,Bavo Vanhalst,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/dreambaby,
FitnessKing,Sam Meert,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/fitnessking,
GIMBER,Dimitri Oosterlynck,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/gimber,
HappyBed,Willem van den Eertwegh,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/happybed,
HUB Footwear,Huub van Boeckel,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/hub-footwear,
Local Taste,Thom van den Bossche,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/local-taste,
Maatkasten Online,Loic Van Laeken,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/maatkasten-online,
RINSMA MODEPLEIN,Henk-Jan IJtsma,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/rinsma-modeplein,
Rubio Monocoat,Benoit Muylle,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/rubio-monocoat,
Xpozer,Clemens van Os,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/xpozer,
Suitical,Melvin Kok,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/suitical,
Loop Earplugs,Dimitri O,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/loop-earplugs,
Protest,Wesley van Wijnbergen,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/protest,
Tegeldepot,Chahid Charrak,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/tegeldepot,
Anna Diva,Marielle van Werven,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/anna-diva,
Swiss Sense,Martin Diks,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/swiss-sense,
Multivlaai,Marco Vink,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/multivlaai,
McAlson,Pierre Deren,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/mcalson,
Goedhart Motoren,Joost Goedhart,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/goedhart-motoren,
Pink Gellac,Thera Strietman,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/pink-gellac,
Zens,Johan Plasmans,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/zens,
Dutchies,Anne de Korte,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/dutchies,
Kunstgrasnet,Arthur Voorhuis,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/kunstgrasnet,
Tuinmeubelshop,Gerrit van der Garde,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/tuinmeubelshop,
Dutch Soap Company,Dorianne Kalverboer-Clouvel,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/dutch-soap-company,
Drent & van Dijk Shop,Martin van Dijk,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/drent-van-dijk-shop,
Dehangmat.nl,Kees van Dijk,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/dehangmat-nl,
zilver.nl,Michel de Jonge,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/zilver-nl,
Motorkledingstore.nl,Frans Overberg,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/motorkledingstore-nl,
Heuts.nl,Jeroen van Uden,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/heuts-nl,
Letsleds,Jens van den Wijngaard,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/letsleds,
123 3D,Gerben Kreuning,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/123-3d-b-v,
Jeroen Beekman Mode,Jeroen Beekman,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/jeroen-beekman-mode,
Diveoutlet,Cees Langmuur,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/diveoutlet,
Topbloemen.nl,Jasper Jolink,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/topbloemen-nl,
Spierings Herenmode,Pim van den Berg,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/spierings-herenmode,
De Bouwhof,Jan Bart Huurman,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/de-bouwhof,
Forza Refurbished,Rogier Schuurmans,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/forza-refurbished,
ZINZI,Martijn van der Velden,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/zinzi,
Dekbedden.nl,Niels Verwij,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/dekbedden-nl,
Probeauty,Joey Rutjes,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/probeauty,
Schulte Herenmode,Mark van den Berg,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/schulte-herenmode,
Bold Monkey,Richard Halberstadt,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/bold-monkey,
GewoonGers,Ton Vergunst,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/gewoongers,
Olfit.nl,Roan Oldekamp,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/olfit-nl,
Rene Houtman Interieurs,Rene Houtman,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/rene-houtman-interieurs-b-v,
Partydeco.nl,Tineke Meeder-Rosbergen,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/partydeco-nl,
Cupido.nl,Mirthe van Kasteel,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/cupido-nl,
Boeketcadeau.nl,Carolien Heijn,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/boeketcadeau-nl,
Ledlichtdiscounter.nl,Michael Castricum,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/ledlichtdiscounter-nl,
Tadaaz,Jan Jonckheere,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/tadaaz,
Rozenkwekerij de wilde,Steven van Dalen,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/rozenkwekerij-de-wilde,
Bestekshop.nl,Bart van Schie,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/bestekshop-nl,
Koffiecentrale.nl,Ben Wijnhoven,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/koffiecentrale-nl,
De Online ParketShop,Patrick Kuckelkorn,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/de-online-parketshop,
Rolgordijn.com,Henk Wouters,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/rolgordijn-com,
Yoek,Joke Timmer,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/yoek,
Foxelli Group,Armantas Bakas,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/foxelli-group,
Vedder & Vedder,Anne Vedder,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/vedder-vedder,
Interieurwereld van de Belt,Bert Rossing,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/interieurwereld-van-de-belt,
Nyn Vintage,Nynke Boonstra,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/nyn-vintage,
Frankly Amsterdam,Femke Derks,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/frankly-amsterdam,
STËLZ,Milan Voet,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/stelz,
Smart Toys and Games,Rolf Vandoren,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/smart-toys-and-games,
Reypenaer,Rien van den Wijngaard,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/reypenaer,
Wolk Airbag,Mark Berkhout,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/wolk-airbag,
Lampenlicht,Ard Huisert,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/lampenlicht,
BERG Toys,Henk van den Berg,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/berg-toys,
Aardbeiplantje,Joost Henselmans,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/aardbeiplantje,
Magnetic Nail Design,Mey Liang,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/magnetic-nail-design,
Pylos 59,Monic Besemer,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/pylos-59,
Rum Baba,Lusan Drost,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/rum-baba,
Decorazzi,Jerome de Groot,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/decorazzi,
Buitengoed.nl,Lars Kuhlkamp,lijst,"Landingspagina live, kaart in voorbereiding",5,https://intro-pique.agency/bcs5/buitengoed-nl,
