vestiging,bedrijf,beslisser,functie,status,lp_gescand,actie,datum,batch,lp_url,scans,laatste_scan
,COMP. lawyers,Claudia Koken,Partner (mededinging & compliance),benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/comp-lawyers,,
,Sirius Medical,Bram Schermers,Medeoprichter & CEO,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/sirius-medical,,
,Demcon,Michiel Jannink,Vice president Demcon life sciences & health,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/demcon,,
,AIM B.V.,Emile Arnoldussen,Managing director,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/aim-bv,,
,Suncom Energy,Henk Arntz,Oprichter & CEO,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/suncom-energy,,
,HeatMatrix Group,Peter van Veelen,Commercie & partnerships (mede-eigenaar familiebedrijf),benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/heatmatrix-group,,
,Bright Renewables,Jelle Klein Teeselink,CEO / Managing director,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/bright-renewables,,
,SVT Branding + Design,Michel van Tongeren,"Oprichter, eigenaar & Director Branding + Strategy",benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/svt-branding-design,,
,Studio Kluif,Paul Roeters,Medeoprichter & creatief directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/studio-kluif,,
,npk design,Jos Oberdorf,"Partner (o.a. medical, new energies, semiconductor)",benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/npk-design,,
,Bad in Beeld,Mike van Reusel,"Manager New Business (IGM, voor Bad in Beeld en Baderie)",benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/bad-in-beeld,,
,InstalCenter,Aram van Jaarsveld,Formulemanager InstalCenter (IGM),benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/instalcenter,,
