bedrijf,trigger,uitslag,reden,citaat_gevonden,bron_status
Loavies,Loavies plaatste een vacature voor Customer Care medewerker (Flex),goed,,ja,opgehaald
Marlies Dekkers,Marlies Dekkers plaatste een vacature voor Customer Service stagiaire,goed,,ja,opgehaald
Printenbind,Printenbind plaatste een vacature voor Print Support | Klantenservicemedewerker,afkeur,bron is 887 dagen oud,ja,opgehaald
