bedrijf,trigger,trigger_persoon,trigger_citaat,trigger_bron,trigger_datum,trigger_gecheckt
Loavies,Loavies plaatste een vacature voor Customer Care medewerker (Flex),"Loavies, vacaturetekst namens het bedrijf",Bij LOAVIES zijn we voor ons Customer Care Team op zoek naar een flexibele parttime Customer Care medewerker!,https://loavies.recruitee.com/o/customer-care-medewerker-flex-4,2026-08-25,2026-08-25
Marlies Dekkers,Marlies Dekkers plaatste een vacature voor Customer Service stagiaire,"Marlies Dekkers, vacaturetekst namens het bedrijf",Ben jij een enthousiaste student met een passie voor klantcontact en communicatie?,https://jobs.marliesdekkers.com/o/customer-service-stagiaire,2026-08-03,2026-08-25
Printenbind,Printenbind plaatste een vacature voor Print Support | Klantenservicemedewerker,"Printenbind, vacaturetekst namens het bedrijf",Iedere dag helpen we klanten hun project werkelijkheid te maken.,https://werkenbijprintenbind.nl/o/print-support-klantenservicemedewerker,2024-03-28,2026-08-25
